Hop,Pure_Willow,Pure_Helios,Willow_to_Helios_at_25,Willow_to_Helios_at_50,Alternating,Phi_No_QEC,Phi_Basic,Phi_Advanced,Phi_Willow
63,0.9937259892230316,0.7311381943509374,0.8126326280192744,0.9194359099109506,0.8194889761482463,0.021095531676953137,0.993310961716756,1.0,1.0
64,0.9936255462177985,0.7274567202661473,0.808569713266852,0.9148550594778444,0.8194081531573747,0.020483610576554904,0.993310961716756,1.0,1.0
65,0.9935232052607957,0.7237660527708282,0.8044532968491228,0.9102692568350447,0.8193267465048117,0.019968458617702915,0.993310961716756,1.0,1.0
66,0.9934240732736522,0.72017077859555,0.8005324059928787,0.9058752760977875,0.8192452483141787,0.019365014789630475,0.993310961716756,1.0,1.0
67,0.993328344507757,0.7165723593976798,0.7965252817833508,0.9012009922764371,0.8191585871801791,0.01866941834351408,0.993310961716756,1.0,1.0
68,0.9932243413883144,0.7129187016526389,0.7925571335393903,0.8965753790261674,0.8190760837578293,0.01813208881735806,0.993310961716756,1.0,1.0
69,0.9931258493280092,0.7092418374399232,0.7883979127035097,0.892033707510991,0.8189953200838213,0.01767101068812057,0.993310961716756,1.0,1.0
70,0.9930271047262448,0.7057700578929791,0.7842887054834612,0.8875567370107686,0.8189133562121779,0.01724012562720911,0.993310961716756,1.0,1.0
71,0.9929281180132318,0.7023220493558252,0.7804992412464458,0.883054350449787,0.8107242226500562,0.016842258787047034,0.993310961716756,1.0,1.0
72,0.9928269974156052,0.6988810343393959,0.7765231596618553,0.8786549676270615,0.8066289287380437,0.016460672768101897,0.993310961716756,1.0,1.0
73,0.9927302079517232,0.6953029376065366,0.7726363734405369,0.8742240782714269,0.8027800723479283,0.01607421097214165,0.993310961716756,1.0,1.0
74,0.9926295402459658,0.6917724490598576,0.7687510087587419,0.8697029225129187,0.7987759314027957,0.015650981283855663,0.993310961716756,1.0,1.0
75,0.992529554817866,0.6881231062687001,0.7648959680152708,0.8654939205057042,0.7946389628785628,0.015303392586744359,0.993310961716756,1.0,1.0
76,0.9924304070150938,0.6844859331757895,0.7611146119837616,0.8609895483274275,0.7906098321990842,0.014906167001976875,0.993310961716756,1.0,1.0
77,0.992336664979605,0.6810462503417695,0.7572310481843391,0.8567800835067741,0.7865472636262898,0.014547206355171278,0.993310961716756,1.0,1.0
